Zip Code,BaseDate,3-Month,6-Month,1-Year
7882,2024-03-31,1.0,2.6,1.9
31032,2024-03-31,0.7,1.9,1.6
7446,2024-03-31,0.6,1.7,-0.9
44301,2024-03-31,1.5,4.2,1.1
45223,2024-03-31,1.4,3.5,1.6
85739,2024-03-31,0.6,1.5,2.1
3064,2024-03-31,1.5,3.7,3.3
26041,2024-03-31,0.7,2.0,-2.4
56003,2024-03-31,1.1,3.2,-0.5
77032,2024-03-31,0.6,1.4,0.2
68133,2024-03-31,1.2,2.8,1.2
64060,2024-03-31,1.3,3.1,1.2
31415,2024-03-31,1.1,2.8,4.4
3106,2024-03-31,1.2,3.3,3.5
70538,2024-03-31,0.4,1.3,-4.4
64117,2024-03-31,1.4,3.4,1.3
21128,2024-03-31,0.7,1.7,-0.9
89143,2024-03-31,0.8,1.8,1.3
95066,2024-03-31,1.1,1.8,0.2
68507,2024-03-31,1.2,3.0,0.4
75209,2024-03-31,0.9,2.1,1.1
44132,2024-03-31,1.4,3.9,1.2
74955,2024-03-31,0.8,2.1,0.4
6084,2024-03-31,1.4,3.7,2.5
29325,2024-03-31,0.9,2.1,1.9
48189,2024-03-31,1.4,3.3,-1.1
87020,2024-03-31,0.5,1.5,0.5
20186,2024-03-31,0.8,1.3,-0.6
15012,2024-03-31,0.9,2.4,-0.5
12839,2024-03-31,1.0,3.0,1.3
70006,2024-03-31,0.4,1.0,-3.6
43608,2024-03-31,1.4,4.3,0.6
6517,2024-03-31,1.3,3.3,2.7
14619,2024-03-31,1.9,5.5,3.3
34669,2024-03-31,0.7,1.8,3.1
35121,2024-03-31,0.8,2.1,0.8
78065,2024-03-31,0.6,1.4,-0.1
23663,2024-03-31,0.9,2.0,0.5
97408,2024-03-31,0.8,2.1,0.5
13219,2024-03-31,1.3,4.2,3.0
31217,2024-03-31,1.1,3.0,2.5
73118,2024-03-31,0.9,2.1,1.0
26241,2024-03-31,0.7,2.2,-1.1
98674,2024-03-31,0.9,2.3,1.3
29928,2024-03-31,0.6,1.7,3.2
39574,2024-03-31,0.7,1.7,0.4
27536,2024-03-31,1.0,2.7,2.1
78248,2024-03-31,0.6,1.4,-0.1
25403,2024-03-31,0.9,2.4,1.4
37073,2024-03-31,0.9,2.0,1.9
94705,2024-03-31,1.2,1.7,-1.9
38672,2024-03-31,0.7,1.7,1.5
5446,2024-03-31,1.0,2.7,1.1
60601,2024-03-31,0.8,1.9,-0.3
8846,2024-03-31,0.7,1.8,-0.9
73025,2024-03-31,0.8,1.9,0.9
23661,2024-03-31,0.9,2.0,0.5
34235,2024-03-31,0.4,1.1,2.8
75791,2024-03-31,1.0,2.5,1.8
33812,2024-03-31,0.5,1.2,2.6
70775,2024-03-31,0.5,1.0,-2.1
2141,2024-03-31,0.9,2.1,0.4
78264,2024-03-31,0.7,1.5,-0.1
15214,2024-03-31,1.3,3.3,-0.7
75652,2024-03-31,0.8,2.1,-0.7
37218,2024-03-31,1.0,2.2,2.2
81521,2024-03-31,1.0,2.5,1.7
53228,2024-03-31,1.7,4.2,0.8
48160,2024-03-31,1.3,3.1,-1.0
74429,2024-03-31,0.9,2.1,1.4
78252,2024-03-31,0.6,1.4,-0.1
19971,2024-03-31,0.8,2.2,1.4
86426,2024-03-31,0.6,1.6,1.7
77078,2024-03-31,0.6,1.5,0.2
49242,2024-03-31,0.9,2.9,0.3
11767,2024-03-31,0.6,1.6,-0.8
46373,2024-03-31,1.1,2.7,-0.4
81520,2024-03-31,1.1,2.7,1.9
77474,2024-03-31,0.5,1.3,0.2
6119,2024-03-31,1.5,3.9,2.5
82520,2024-03-31,0.3,1.3,0.8
5478,2024-03-31,0.9,2.5,1.0
30103,2024-03-31,0.8,2.0,2.3
31632,2024-03-31,1.0,2.4,2.0
37416,2024-03-31,1.1,2.8,2.6
7078,2024-03-31,0.7,1.7,-0.9
70525,2024-03-31,0.5,1.0,-4.5
28134,2024-03-31,0.9,2.3,2.9
44420,2024-03-31,1.4,3.9,2.1
35180,2024-03-31,0.8,2.0,0.7
16502,2024-03-31,1.2,3.3,1.2
19003,2024-03-31,0.9,2.4,0.9
7063,2024-03-31,0.7,1.8,-1.0
8103,2024-03-31,1.0,2.8,1.0
37083,2024-03-31,0.9,2.0,2.0
44485,2024-03-31,1.6,4.4,2.3
33973,2024-03-31,0.5,1.1,2.5
19809,2024-03-31,0.9,2.3,0.9
64468,2024-03-31,0.6,1.7,0.7
11693,2024-03-31,0.6,1.7,-0.9
65473,2024-03-31,1.0,2.6,1.5
47620,2024-03-31,0.9,2.3,0.7
66219,2024-03-31,1.3,3.1,1.2
1778,2024-03-31,1.3,3.1,0.6
60033,2024-03-31,1.3,3.2,-0.4
32903,2024-03-31,0.6,1.7,2.1
46055,2024-03-31,1.0,2.6,1.8
33129,2024-03-31,0.5,1.1,2.4
73942,2024-03-31,0.7,1.8,-0.8
72212,2024-03-31,0.7,1.5,-0.2
87015,2024-03-31,0.9,2.2,1.6
75054,2024-03-31,0.9,2.1,1.1
7663,2024-03-31,0.6,1.6,-0.8
81623,2024-03-31,1.1,2.6,4.0
60173,2024-03-31,1.1,2.8,-0.4
1730,2024-03-31,1.3,3.2,0.6
45229,2024-03-31,1.5,3.7,1.7
13215,2024-03-31,1.3,4.1,2.9
